PLANE_2-OBJECT_1-REDSHIFT PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.50544333 24.30697823 22.48182869 21.80939484 21.42806625 21.13864708 1.0
0.73616570 25.05709839 24.21860313 23.75914192 23.63312149 23.03372383 1.0
0.56298131 24.29353523 23.43532181 23.18241692 23.05848503 24.00320435 1.0
0.71204847 24.87053871 23.12518120 22.14976883 21.76306534 21.40340042 1.0
0.97308993 24.56876373 24.37767410 23.93957329 24.08008957 99.00000000 1.0
0.85622507 24.70810127 23.89483070 23.12912178 22.80978584 22.68600082 1.0
0.63985240 23.74842072 22.28892326 21.37204933 20.92887115 20.81506729 1.0
0.90170217 25.81642914 25.04437637 23.99703217 23.58246422 99.00000000 1.0
0.84700364 24.94469070 24.50310707 24.03145218 99.00000000 99.00000000 1.0
0.81722182 25.52820015 24.14820290 22.91200256 22.48082161 21.91838264 1.0
0.75942194 23.90099907 23.24049187 23.18340874 22.73116684 22.48903656 1.0
0.90865856 24.66626549 24.43393326 23.60603523 23.19054985 99.00000000 1.0
0.92297935 23.85494232 23.52597427 23.04641151 22.67078400 99.00000000 1.0
0.89136612 25.21542740 24.10914993 23.15462875 22.69715309 22.59617233 1.0
0.60120606 23.31080246 22.60404778 22.30857658 22.24632454 22.29308319 1.0
0.93976843 23.51615524 23.17948723 22.73600960 22.31954193 21.81524467 1.0
0.89733094 24.87301064 24.34202003 24.34929657 24.16074181 99.00000000 1.0
0.90066141 25.08196449 24.47888184 24.28791046 23.54092979 99.00000000 1.0
0.77414495 24.38306808 23.79652977 23.90680695 23.90478897 99.00000000 1.0
0.98936558 23.81531906 23.64681435 23.24716759 22.82300186 22.42459488 1.0
0.97751164 99.00000000 25.04782677 23.85310173 23.27928162 23.88134003 1.0
0.62402761 24.42429352 23.56167603 23.33128548 23.14446068 22.82648659 1.0
0.97580516 24.83024597 23.35335159 22.41718864 21.62569237 21.60517502 1.0
0.96834636 24.23076248 24.20777130 24.01761436 24.17897606 99.00000000 1.0
0.75709218 23.67003250 22.67862320 21.89450455 21.44944382 21.21789742 1.0
0.57643443 22.89357376 21.43228912 20.70553398 20.27688599 20.07275391 1.0
0.99293357 24.54082298 24.18075180 23.26558113 22.76728821 22.92850494 1.0
0.50963765 23.73304939 23.85266113 23.23458290 23.54244995 99.00000000 1.0
0.98715931 23.88998032 23.70344925 23.32779503 22.98485184 99.00000000 1.0
0.90601426 23.53711891 23.06339264 22.55669594 22.25140572 22.06441498 1.0
0.68219328 23.71556854 22.86684608 22.53024483 22.35835648 21.87016869 1.0
0.81208831 24.90930557 23.76399803 23.11328697 22.57408142 22.89126396 1.0
0.54332149 24.22372437 23.15530968 22.98006630 22.70753479 22.62049294 1.0
0.61784303 24.57181740 23.64082336 23.37788963 24.06181908 22.54098129 1.0
0.59394133 23.97893906 23.46239471 23.19722176 23.26688194 22.63459015 1.0
0.96253848 25.25363731 23.19598579 22.12910461 21.27235031 20.99667931 1.0
0.78771883 24.64624405 23.43579865 22.38479233 21.91159439 21.61878586 1.0
0.96011037 24.64098930 24.16448402 23.98851013 23.36469841 99.00000000 1.0
0.66540104 24.38346863 23.66526985 23.63607407 23.12554932 99.00000000 1.0
0.98248774 24.62305069 24.09431076 23.79454994 23.29969406 22.62430954 1.0
0.55172640 23.73785782 22.63613129 22.36809731 22.09871864 21.62459373 1.0
0.60813314 24.62235260 23.15645218 22.55236626 22.11540794 21.87334061 1.0
0.95558810 24.26045609 24.42675018 23.40704727 23.39203453 22.85726929 1.0
0.53227955 23.82396126 22.85754013 22.65808296 22.56275368 22.48955917 1.0
0.76121265 24.28572273 23.80505753 23.42391968 23.18072319 22.13550568 1.0
0.67124248 24.41129875 23.19158554 22.70164680 22.35978508 21.90207863 1.0
0.67746818 22.62798500 21.90087700 21.48949814 21.32632828 21.24114799 1.0
0.79672450 23.46199608 22.87957573 22.39946365 21.96746635 99.00000000 1.0
0.87644100 24.10127449 23.61872673 22.97371101 22.62981796 22.41003990 1.0
0.88441563 25.28143311 24.94252968 24.27900314 24.10377693 23.37847328 1.0
0.98802412 24.58215714 24.28677940 24.04678154 24.05994987 99.00000000 1.0
0.94299102 23.75223160 23.00878906 22.35717583 21.87526703 21.68692017 1.0
0.80991626 23.22361183 22.41846657 21.66882133 21.36007690 21.04566193 1.0
0.97978967 24.61869431 24.57287407 23.96938133 23.37540436 22.96529579 1.0
0.70175350 24.66607285 24.00287247 23.50493431 23.70707703 23.20932579 1.0
0.84007561 23.80706978 22.87534332 21.97154045 21.53085899 21.03403473 1.0
0.76646757 24.69568443 23.79105377 23.32269669 22.95516777 99.00000000 1.0
0.93240887 24.27416229 23.55009460 22.86516953 22.42897224 22.25641632 1.0
0.96382385 23.71254349 23.60689545 23.43408203 23.27565956 23.01420784 1.0
0.92621350 24.95899010 25.05101967 24.13044167 23.84910202 99.00000000 1.0
0.58504403 25.28019714 24.15298271 24.11429596 23.34043694 22.85582161 1.0
0.96738106 24.74578667 24.14755440 23.82352638 23.11378288 99.00000000 1.0
0.81783426 25.14148712 23.82873344 23.24039650 22.87171173 23.11629295 1.0
0.56109351 23.83552170 23.47173309 22.97059441 23.52783012 22.81759262 1.0
0.58690292 22.89376068 22.70390511 22.28376007 22.34509087 22.12351990 1.0
0.86022133 24.84375572 23.96919060 23.33695412 22.71655846 22.09775734 1.0
0.94886559 24.28735924 23.34142685 22.35493469 21.55190468 21.38459778 1.0
0.79022807 25.34209251 24.68964577 24.01506615 23.28821373 23.33339310 1.0
0.88372570 99.00000000 24.46063232 23.50052452 22.77488518 22.48987961 1.0
0.92590851 24.65283966 24.54443932 23.84729004 23.85011292 23.00308418 1.0
0.53098255 24.48032570 23.50134468 23.36802483 23.14243889 99.00000000 1.0
0.72130209 22.82889938 22.22779465 21.80681229 21.64136887 21.28693390 1.0
0.90447545 24.45092583 24.08134460 23.45759583 23.35416794 22.91434479 1.0
0.80986488 24.53426361 23.73091507 23.17672920 23.06227303 99.00000000 1.0
0.60770893 24.86898422 23.23125839 22.70896339 22.30166817 99.00000000 1.0
0.92100692 24.58613205 23.06065750 21.78823090 21.06392288 20.93649864 1.0
0.96500486 23.63191223 22.82555199 22.33901978 21.71043205 21.44058418 1.0
0.91139448 23.96892929 23.60332870 22.97675323 22.76264381 22.20162201 1.0
0.52061909 24.47299957 23.72148514 23.54330826 23.45165825 22.80619812 1.0
0.95532161 24.30171013 23.98994827 23.77520561 24.03329659 22.69452667 1.0
0.84486467 25.15659523 24.34957123 24.30420303 23.22841454 22.50334930 1.0
0.59650147 24.09344864 22.22253799 21.40923691 21.04148483 20.81855965 1.0
0.94564444 24.47142410 24.20703888 23.63536263 23.14908791 22.22344398 1.0
0.59828633 23.71251869 22.59077835 22.03867149 21.70554543 21.40377617 1.0
0.58472097 24.58269501 23.64248276 23.32133293 23.35159302 23.21298027 1.0
0.90571588 23.66830826 23.08623505 22.53420067 22.11703491 22.05594063 1.0
0.60366231 23.69510651 22.69142532 22.34425735 22.05305862 21.56214333 1.0
0.77150738 24.06999207 23.59174538 23.20413971 22.71510506 22.26546478 1.0
0.95805788 23.26082802 23.00867462 22.25663185 21.78208160 21.75586319 1.0
0.60087883 24.11644173 23.19466400 22.79397583 22.41436577 22.15598488 1.0
0.53296810 24.35954666 23.72627068 23.55913925 23.68615150 99.00000000 1.0
0.73234010 23.88611794 23.39486504 23.05063629 23.34392166 22.74066353 1.0
0.66650146 23.96868324 23.06521797 22.46068954 22.08251762 21.53923798 1.0
0.65207726 24.06998634 22.26255989 21.28381538 20.86301994 20.71826553 1.0
0.72463346 22.91688538 22.51581573 22.21029091 22.11808395 21.86944580 1.0
0.72668397 24.59390068 24.15768051 24.26635361 23.82283401 22.97115135 1.0
0.55875903 24.80772018 22.92484474 22.27049637 21.90184212 22.16439056 1.0
0.54696465 23.30500221 21.61119080 20.83502579 20.41435814 20.21426392 1.0
0.57343215 24.20753670 22.91086006 22.28330994 21.81517792 21.45811462 1.0
0.65789282 23.79956627 22.83658600 22.33565903 22.18267250 22.07351303 1.0
