PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude WEIGHT
0.56 19.25 0.63
1.34 17.26 0.89
1.29 17.65 0.73
2.10 17.02 0.01
0.83 18.33 0.60
2.61 16.00 0.10
0.73 18.84 0.88
0.77 18.79 0.10
0.69 14.78 0.09
1.31 18.71 0.08
1.46 16.68 0.79
2.40 15.18 0.68
1.80 16.85 0.88
0.90 18.25 0.66
0.75 17.69 0.05
2.63 14.29 0.75
0.79 13.93 0.08
0.91 20.51 0.03
1.99 16.44 0.77
0.63 18.25 0.68
0.83 16.31 0.06
2.30 14.01 0.01
2.98 13.70 0.69
2.33 15.25 0.88
1.76 16.73 0.07
2.40 20.52 0.07
2.66 19.02 0.02
3.00 13.87 0.76
0.81 18.32 0.70
2.46 19.66 0.01
2.47 15.48 0.64
2.66 21.38 0.04
2.81 18.22 0.01
2.06 16.15 0.76
2.52 15.44 0.64
2.86 19.18 0.06
1.26 17.79 0.74
1.52 14.30 0.04
2.71 14.42 0.67
1.36 17.07 0.75
1.75 19.15 0.01
1.08 21.33 0.08
1.76 16.57 0.62
0.77 17.03 0.04
2.79 16.64 0.03
1.47 17.61 0.04
2.94 14.98 0.08
1.72 16.07 0.78
0.52 18.51 0.63
2.60 18.93 0.01
