CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v-g CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v-r CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v-i CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v-z CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v-Y
196.737 196.737 196.737 196.737 196.737
255.839 255.839 255.839 255.839 255.839
211.848 211.848 211.848 211.848 211.848
241.311 241.311 241.311 241.311 241.311
193.026 193.026 193.026 193.026 193.026
241.299 241.299 241.299 241.299 241.299
183.588 183.588 183.588 183.588 183.588
271.999 271.999 271.999 271.999 271.999
235.621 235.621 235.621 235.621 235.621
201.958 201.958 201.958 201.958 201.958
189.690 189.690 189.690 189.690 189.690
200.410 200.410 200.410 200.410 200.410
310.595 310.595 310.595 310.595 310.595
272.277 272.277 272.277 272.277 272.277
228.504 228.504 228.504 228.504 228.504
272.944 272.944 272.944 272.944 272.944
333.803 333.803 333.803 333.803 333.803
247.710 247.710 247.710 247.710 247.710
245.801 245.801 245.801 245.801 245.801
234.400 234.400 234.400 234.400 234.400
230.151 230.151 230.151 230.151 230.151
250.229 250.229 250.229 250.229 250.229
217.655 217.655 217.655 217.655 217.655
229.795 229.795 229.795 229.795 229.795
269.316 269.316 269.316 269.316 269.316
285.027 285.027 285.027 285.027 285.027
388.489 388.489 388.489 388.489 388.489
249.371 249.371 249.371 249.371 249.371
249.373 249.373 249.373 249.373 249.373
228.664 228.664 228.664 228.664 228.664
219.960 219.960 219.960 219.960 219.960
226.740 226.740 226.740 226.740 226.740
149.451 149.451 149.451 149.451 149.451
215.968 215.968 215.968 215.968 215.968
206.032 206.032 206.032 206.032 206.032
255.021 255.021 255.021 255.021 255.021
297.251 297.251 297.251 297.251 297.251
153.744 153.744 153.744 153.744 153.744
180.711 180.711 180.711 180.711 180.711
206.111 206.111 206.111 206.111 206.111
235.214 235.214 235.214 235.214 235.214
229.142 229.142 229.142 229.142 229.142
289.974 289.974 289.974 289.974 289.974
173.356 173.356 173.356 173.356 173.356
283.649 283.649 283.649 283.649 283.649
288.643 288.643 288.643 288.643 288.643
