CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.12649094 19.87325859 19.09209251 18.70531082 18.48275948 18.42626953 1.0
0.25748792 21.79298973 21.43421555 21.26678276 21.34543800 21.33299065 1.0
0.21782839 21.72157860 21.09894562 20.83550835 20.69699860 20.75214195 1.0
0.17391822 22.20806122 21.85676384 21.70260429 21.67228889 21.56722069 1.0
0.23895259 21.98645020 21.53842163 21.38369179 21.21505165 21.16902924 1.0
0.25812989 21.01557732 20.02714920 19.73118973 19.42900658 19.19723701 1.0
0.19702208 23.58121872 23.42024422 23.38666534 23.53996277 99.00000000 1.0
0.21273933 24.42094040 24.12073135 23.79647255 23.24184799 23.12835884 1.0
0.21197130 20.72912407 19.71596718 19.34711647 19.11383629 19.01412964 1.0
0.20907083 21.56201553 21.18742180 20.92806053 20.98009491 21.14849854 1.0
0.19489051 23.72385025 23.48236847 23.34569359 23.16540337 22.69549370 1.0
0.13444470 20.31790161 19.70093918 19.57093048 19.33308792 19.19814491 1.0
0.27341905 22.69605255 22.22649384 22.28510284 22.11913872 21.79883385 1.0
0.23896985 21.92570877 21.50289536 21.21618652 21.23105431 21.33517456 1.0
0.28179005 23.19757080 22.79693794 22.86227989 22.61117554 22.47537804 1.0
0.19225724 20.38604736 19.26136780 18.92566490 18.63341331 18.51901627 1.0
0.20709701 22.24970818 21.79365158 21.67030525 21.57864761 21.76460266 1.0
0.23644716 22.69462585 22.21110916 22.10027695 21.91811943 21.92563629 1.0
0.26138321 22.68972397 22.32358551 22.22399521 22.08055496 22.05716896 1.0
0.17734554 21.68859291 21.28717232 21.09290695 21.09115791 21.06414986 1.0
0.21275869 20.03690529 18.79107857 18.40982628 18.06593513 17.84382057 1.0
0.05563431 24.66396713 24.11189079 23.87397766 23.36989594 21.74151421 1.0
0.13482082 20.99980927 20.61640358 20.44882965 20.37909508 20.19124222 1.0
0.23229815 20.59943199 20.27345085 20.11850929 20.11617470 20.08761406 1.0
0.14999716 22.27057076 22.03009605 22.06947899 21.99181557 21.64111137 1.0
0.28236309 21.15180969 20.16160774 19.80292892 19.60504341 19.57605171 1.0
0.15525058 25.06200790 24.31477928 24.41137314 24.49621964 99.00000000 1.0
0.12728168 20.85850143 20.39800835 20.06612206 19.83462524 19.62960434 1.0
0.17280054 19.57625008 18.66442490 18.37914848 18.12381554 17.95298195 1.0
0.23914157 22.58788490 22.21664429 21.94393921 21.80446053 21.65756989 1.0
0.28583363 23.54955101 23.26145172 23.23128510 23.30175591 22.76547241 1.0
0.05710406 21.22335434 21.05457687 21.13842964 21.12325668 21.09133720 1.0
0.27790526 22.74277878 22.50976181 22.34302330 22.39331055 20.87983894 1.0
