CONFIGURATION_3-PLANE_2-OBJECT_2-magnitude-g CONFIGURATION_3-PLANE_2-OBJECT_2-magnitude-r CONFIGURATION_3-PLANE_2-OBJECT_2-magnitude-i CONFIGURATION_3-PLANE_2-OBJECT_2-magnitude-z CONFIGURATION_3-PLANE_2-OBJECT_2-magnitude-Y WEIGHT
21.88 22.04 22.35 22.52 22.55 0.05
21.93 22.32 22.33 22.34 22.35 0.05
21.88 22.21 22.28 22.31 22.70 0.05
21.40 21.61 21.66 21.75 21.76 0.05
21.40 21.62 22.01 22.08 22.48 0.05
21.96 22.06 22.30 22.49 22.71 0.05
21.51 21.70 22.05 22.18 22.37 0.05
21.51 21.58 21.97 22.29 22.45 0.05
21.68 21.95 22.07 22.39 22.68 0.05
21.90 22.09 22.14 22.50 22.83 0.05
21.02 21.18 21.41 21.57 21.65 0.05
21.61 21.90 22.07 22.46 22.64 0.05
21.78 21.80 21.98 22.36 22.68 0.05
21.19 21.22 21.31 21.40 21.67 0.05
21.37 21.76 21.91 22.02 22.24 0.05
21.39 21.68 21.82 22.16 22.54 0.05
21.54 21.81 21.86 22.05 22.24 0.05
21.53 21.65 21.83 22.00 22.05 0.05
21.09 21.17 21.23 21.54 21.83 0.05
21.24 21.38 21.65 21.78 22.03 0.05
