,NITE,mag_g,mag_r,mag_i,mag_z,psf_g,psf_r,psf_i,psf_z,skymag_g,skymag_r,skymag_i,skymag_z,zpt_g,zpt_r,zpt_i,zpt_z,z_source
0,0,21.01184856665397,21.07496362698341,21.14578109753395,20.993683157089,1.1481670141220093,0.9751555323600768,0.9122422933578492,1.0223405361175537,30.105791568756104,29.000567972660065,27.737379550933838,29.474200189113613,33.0,33.0,33.0,33.0,1.293030023574829
1,3,20.88492345583702,21.161249396922837,21.176318643214948,20.707862792136915,1.0066121816635132,1.038068771362305,1.1953519582748413,1.0066121816635132,27.579484462738037,29.000567972660065,28.368938744068146,27.579484462738037,33.0,33.0,33.0,33.0,1.293030023574829
2,6,21.106749889972452,21.21012639773155,20.979312477233652,21.013516006591566,1.038068771362305,1.1009820699691772,0.9751555323600768,1.2425369024276731,27.895285964012146,28.84266185760498,27.42158579826355,30.42161005735397,33.0,33.0,33.0,33.0,1.293030023574829
3,9,20.975590167167436,21.137899277332075,21.081708488586195,21.107798931720506,0.9279705882072448,1.2425369024276731,1.1796236038208008,1.0695254802703855,30.105791568756104,28.21105468273163,29.000567972660065,27.579484462738037,33.0,33.0,33.0,33.0,1.293030023574829
4,12,20.811788556697614,20.88664245379234,21.05691891682411,20.65982353461052,1.0537971258163452,0.9279705882072448,1.1953519582748413,1.1481670141220093,30.42161005735397,30.105791568756104,27.579484462738037,27.42158579826355,33.0,33.0,33.0,33.0,1.293030023574829
5,15,20.60917359364296,20.841523525836717,20.678174314620737,20.74361812842155,1.0223405361175537,1.1953519582748413,1.0537971258163452,1.0695254802703855,30.105791568756104,30.42161005735397,28.21105468273163,28.68476378917694,33.0,33.0,33.0,33.0,1.293030023574829
6,18,20.597712216499094,20.647748825671922,20.61803203594948,20.662011621120218,1.1324386596679688,1.038068771362305,1.1796236038208008,1.1324386596679688,30.26375222206116,30.105791568756104,27.895285964012146,29.947991251945496,33.0,33.0,33.0,33.0,1.293030023574829
7,21,20.661054966571573,20.77710729611183,20.629936573627237,20.621452448489908,1.1324386596679688,1.0537971258163452,1.1638953685760498,1.1953519582748413,29.947991251945496,28.84266185760498,29.31633371114731,28.68476378917694,33.0,33.0,33.0,33.0,1.293030023574829
8,24,20.69428336394096,20.77842485678459,20.665818569782022,20.632052240493547,1.1796236038208008,1.0066121816635132,1.1953519582748413,0.9594272375106812,29.31633371114731,29.632167994976047,28.21105468273163,29.15841120481491,33.0,33.0,33.0,33.0,1.293030023574829
9,27,20.883924481990586,20.664487896087415,20.89243304503227,20.770626781108625,1.2425369024276731,0.9122422933578492,1.1481670141220093,1.038068771362305,28.68476378917694,27.895285964012146,27.579484462738037,28.68476378917694,33.0,33.0,33.0,33.0,1.293030023574829
